"X01" "X02" "X03" "X04" "X05" "X06" "X07" "X08" "X09" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33"
-0.682 4.14 0.007661952 0.037489407 -0.012235776 0.035816449 -0.037704594 3.5303 0.6375764105 4.43825153532538 0.0136154594120583 -0.025 3.72 -0.001907325 0.037989878 -0.002112677 0.009726246 0.128434637 3.5303 0.80137930125 4.32815873342243 0.0018676367909082 -0.065 3.71 -0.001083146 0.025317808 -0.001146233 0.008704419 0.102438943 3.5303 0.98010080625 4.41493180186647 0.000515965163954135
-0.025 3.72 -0.001907325 0.037989878 -0.002112677 0.009726246 0.128434637 3.5303 0.80137930125 4.32815873342243 0.0018676367909082 -0.065 3.71 -0.001083146 0.025317808 -0.001146233 0.008704419 0.102438943 3.5303 0.98010080625 4.41493180186647 0.000515965163954135 0.461 4.16 0.005600481 0.033566824 -0.003623673 0.009549472 0.102513262 3.4164 1.2687983388 4.29569919902046 0.0059737097829533
-0.065 3.71 -0.001083146 0.025317808 -0.001146233 0.008704419 0.102438943 3.5303 0.98010080625 4.41493180186647 0.000515965163954135 0.461 4.16 0.005600481 0.033566824 -0.003623673 0.009549472 0.102513262 3.4164 1.2687983388 4.29569919902046 0.0059737097829533 0.003 4.63 0.005059709 -0.013685453 0.000973494 0.003991805 -0.019615422 3.4164 1.42887855125 4.39912526064181 -0.000710227302581856
0.461 4.16 0.005600481 0.033566824 -0.003623673 0.009549472 0.102513262 3.4164 1.2687983388 4.29569919902046 0.0059737097829533 0.003 4.63 0.005059709 -0.013685453 0.000973494 0.003991805 -0.019615422 3.4164 1.42887855125 4.39912526064181 -0.000710227302581856 0.343 4.91 0.004185121 -0.018677276 0.006348668 0.004108193 -0.020561457 3.4164 1.153878678 4.59064624124987 0.0080198566421567
0.003 4.63 0.005059709 -0.013685453 0.000973494 0.003991805 -0.019615422 3.4164 1.42887855125 4.39912526064181 -0.000710227302581856 0.343 4.91 0.004185121 -0.018677276 0.006348668 0.004108193 -0.020561457 3.4164 1.153878678 4.59064624124987 0.0080198566421567 -0.117 5.31 -0.002905061 -0.007246409 0.00289639 0.003959666 -0.020204819 3.1359 1.0355987418 4.52340038410997 -0.0042771161360013
0.343 4.91 0.004185121 -0.018677276 0.006348668 0.004108193 -0.020561457 3.4164 1.153878678 4.59064624124987 0.0080198566421567 -0.117 5.31 -0.002905061 -0.007246409 0.00289639 0.003959666 -0.020204819 3.1359 1.0355987418 4.52340038410997 -0.0042771161360013 0 5.57 -0.005822298 -0.017937701 -0.010041483 -0.009115166 0.000506497 3.1359 1.72652424725 4.55187014820042 0.0056857324036618
-0.117 5.31 -0.002905061 -0.007246409 0.00289639 0.003959666 -0.020204819 3.1359 1.0355987418 4.52340038410997 -0.0042771161360013 0 5.57 -0.005822298 -0.017937701 -0.010041483 -0.009115166 0.000506497 3.1359 1.72652424725 4.55187014820042 0.0056857324036618 0 5.55 0.016121699 0.021969964 -0.023376641 -0.009199017 0.000505441 3.1359 2.186052015 4.24047774376473 0.0099212952700589
0 5.57 -0.005822298 -0.017937701 -0.010041483 -0.009115166 0.000506497 3.1359 1.72652424725 4.55187014820042 0.0056857324036618 0 5.55 0.016121699 0.021969964 -0.023376641 -0.009199017 0.000505441 3.1359 2.186052015 4.24047774376473 0.0099212952700589 -0.322 5.2 0.007459266 -0.021455905 -0.009743737 -0.008983578 0.00048813 3.4194 1.8122159716 3.88494956556475 0.0024360547978812
0 5.55 0.016121699 0.021969964 -0.023376641 -0.009199017 0.000505441 3.1359 2.186052015 4.24047774376473 0.0099212952700589 -0.322 5.2 0.007459266 -0.021455905 -0.009743737 -0.008983578 0.00048813 3.4194 1.8122159716 3.88494956556475 0.0024360547978812 -0.342 4.91 0.004232797 -0.04746511 -0.001831838 0.021960569 0.071504406 3.4194 1.38499562175 3.69062422283015 0.0050465272654198
-0.322 5.2 0.007459266 -0.021455905 -0.009743737 -0.008983578 0.00048813 3.4194 1.8122159716 3.88494956556475 0.0024360547978812 -0.342 4.91 0.004232797 -0.04746511 -0.001831838 0.021960569 0.071504406 3.4194 1.38499562175 3.69062422283015 0.0050465272654198 -0.92 4.14 0.011477866 0.06660445 -0.01366091 0.020802625 0.063802837 3.4194 1.3287552032 3.63969495889869 0.0064348314577289
