date,MonetaryShock_RR,FEDFUNDS,baa_aaa_creditconditions,Consumption_PCE_logdiff,Output_IP_logdiff,assetprice_sp500_logdiff,RNUSBIS_logdiff,Investment_logdiff,NX GDP RATIO PCT,infl_exp
1970-01-01,-0.16,8.98,0.95,0.009428755,-0.018689988,-0.008819371,-0.007265839,-0.010305564,5.02448e-4,2.9851
1970-02-01,-0.36,8.98,0.85,0.008394759,-6.58201e-4,-0.035502686,0.00199471,7.48741e-4,-0.014449563,2.9851
1970-03-01,-0.14,7.76,0.79,-0.002684989,-0.001299244,0.016950522,-6.93361e-4,6.75801e-4,-0.013230276,2.9851
1970-04-01,-0.145,8.1,0.87,0.005834598,-0.00257448,-0.030930301,0.001299658,7.47676e-4,-0.014830427,2.9851
1970-05-01,0.3,7.95,0.87,0.010012599,-0.001166637,-0.122243229,0.002853316,0.005350428,-0.010903775,2.9851
1970-06-01,-0.18,7.61,0.77,0.00605263,-0.003239852,-0.006198503,-0.001468873,0.005498865,-0.011321513,2.9851
1970-07-01,-0.243,7.21,0.96,0.003398211,0.002450741,0.001718327,-6.05458e-4,0.005292846,-0.011013939,3.7037
1970-08-01,-0.483,6.62,1.31,0.006761974,-0.001784415,0.028640333,-0.006423076,-0.018052069,0.024943365,3.7037
1970-09-01,-0.272,6.29,1.3,0.00945129,-0.00691578,0.058084861,-0.0028777,-0.018383946,0.024513357,3.7037
1970-10-01,-0.009,6.2,1.3,-0.001214514,-0.020207016,0.021444368,-8.73e-5,-0.018118611,0.023321295,3.5414
1970-11-01,-0.346,5.6,1.33,-0.002585749,-0.006074557,-0.001067299,0.003922428,0.038532432,-0.036302103,3.5414
1970-12-01,-0.229,4.9,1.48,0.013613884,0.022705102,0.066220483,0.001477811,0.03592699,-0.035809537,3.5414
1971-01-01,-0.682,4.14,1.38,0.015652105,0.007661952,0.037489407,-0.012235776,0.035816449,-0.037704594,3.5303
1971-02-01,-0.025,3.72,1.31,0.004869062,-0.001907325,0.037989878,-0.002112677,0.009726246,0.128434637,3.5303
1971-03-01,-0.065,3.71,1.25,0.003819602,-0.001083146,0.025317808,-0.001146233,0.008704419,0.102438943,3.5303
1971-04-01,0.461,4.16,1.2,0.009921295,0.005600481,0.033566824,-0.003623673,0.009549472,0.102513262,3.4164
1971-05-01,0.003,4.63,1.09,0.003333578,0.005059709,-0.013685453,9.73494e-4,0.003991805,-0.019615422,3.4164
1971-06-01,0.343,4.91,1.11,0.012510049,0.004185121,-0.018677276,0.006348668,0.004108193,-0.020561457000000002,3.4164
1971-07-01,-0.117,5.31,1.12,-0.001286909,-0.002905061,-0.007246409,0.00289639,0.003959666,-0.020204819,3.1359
1971-08-01,0,5.57,1.17,0.008548278,-0.005822298,-0.017937701,-0.010041483,-0.009115166,5.06497e-4,3.1359
1971-09-01,0,5.55,1.15,0.011425472,0.016121699,0.021969964,-0.023376641,-0.009199017,5.05441e-4,3.1359
1971-10-01,-0.322,5.2,1.09,0.003919378,0.007459266,-0.021455905,-0.009743737,-0.008983578,4.8813e-4,3.4194
1971-11-01,-0.342,4.91,1.12,0.007099633,0.004232797,-0.04746511,-0.001831838,0.021960569,0.071504406,3.4194
1971-12-01,-0.92,4.14,1.13,0.010349916,0.011477866,0.06660445,-0.01366091,0.020802625,0.063802837,3.4194
1972-01-01,-0.234,3.51,1.04,0.004246873,0.023627245,0.040801827,-0.014981554,0.021050869,0.061234057,3.5392
1972-02-01,-0.086,3.3,0.96,0.0064046,0.010041392,0.018225924,-0.011671623,0.019165394,-0.024803039,3.5392
1972-03-01,0.252,3.83,1,0.01750415,0.006891816,0.023486284,-0.008146099,0.017602367,-0.023442231,3.5392
1972-04-01,-0.104,4.17,0.94,0.004395026,0.009956078,0.01016175,-0.001637213,0.018479875,-0.025285054,3.3858
1972-05-01,-0.115,4.27,0.93,0.007282389,1.38223e-4,-0.01016175,-0.002219328,0.004670253,-0.02792711,3.3858
1972-06-01,-0.05,4.46,0.97,0.004738098,0.002644383,0.002781643,-0.002805322,0.004803123,-0.029500395,3.3858
1972-07-01,0,4.55,1.02,0.010839153,-0.001117924,-0.007434978,0.00406033,0.004626321,-0.029232147,3.6128
1972-08-01,0,4.81,1,0.008278407,0.013837266,0.034833953,-0.007456578,0.002110776,0.012070332,3.6128
1972-09-01,0,4.87,0.87,0.006164139,0.00794846,-0.014519311,-0.00233554,0.00210633,0.011793298,3.6128
1972-10-01,0,5.05,0.85,0.017513138,0.012622192,0.001826485,0.006216026,0.002034168,0.011156673,3.6999
1972-11-01,0.036,5.06,0.87,0.007020212,0.01175305,0.048963941,0.004540413,0.019554714,-0.01778055,3.6999
1972-12-01,-0.027,5.33,0.85,0.006971272,0.011079357,0.020637018,-0.001639898,0.018566659,-0.017235636,3.6999
1973-01-01,0.279,5.94,0.75,0.012819108,0.007203618,0.007630389,-0.003966148,0.018830134,-0.017832303,3.7609
1973-02-01,0.225,6.58,0.75,0.011325701,0.014195218,-0.036117425,-0.041763441,0.014575595,-0.094519576,3.7609
1973-03-01,0.064,7.09,0.74,0.008440904,4.87766e-4,-0.01588736,-0.03078745,0.012984904,-0.093616058,3.7609
1973-04-01,-0.063,7.12,0.83,0.00347618,-0.001472972,-0.018860011,2.0842e-4,0.014182166,-0.113544112,3.7723
1973-05-01,0.317,7.84,0.77,0.007035145,0.006791599,-0.028507678,-0.010579892,-0.012025742,-0.052050131,3.7723
1973-06-01,0.409,8.49,0.76,0.00320304,0.001347469,-0.022642477,-0.015494314,-0.012580423,-0.056939077,3.7723
1973-07-01,0.115,10.4,0.79,0.011540401,0.003551188,0.009496748,-0.02315369,-0.012327174,-0.058636282,4.0999
1973-08-01,0.318,10.5,0.85,-9.37097e-4,-0.001367078,-0.019084549,0.020047266,0.011930859,-0.073987134,4.0999
1973-09-01,-0.571,10.78,1,0.018462063,0.007961236,0.017192401,-0.009702534,0.01179019,-0.079390741,4.0999
1973-10-01,-0.848,10.01,0.81,-0.001151146,0.008424155,0.039002158,-0.006630099,0.011279015,-0.082935017,5.3651
1973-11-01,-0.095,10.03,0.75,0.009970858,0.004533083,-0.073687716,0.022109286,-0.01943021,-0.11872515,5.3651
1973-12-01,-0.165,9.95,0.8,-3.42173e-4,-0.002876767,-0.073414397,0.003088559,-0.019169869,-0.131121398,5.3651
1974-01-01,-0.206,9.65,0.65,0.008971726,-0.006611096,0.013934952,0.013729226,-0.020202656,-0.156835653,5.6522
1974-02-01,0.201,8.97,0.68,0.005861814,-0.00317247,-0.028066835,-0.030565182,-0.001375561,0.033382764,5.6522
1974-03-01,0.733,9.35,0.61,0.013064783,3.96e-5,0.04181027,-0.016794288,-0.00124407,0.029132732,5.6522
1974-04-01,0.387,10.51,0.62,0.010374224,-0.002919974,-0.052460685,-0.020442885,-0.001379171,0.031292325,5.6126
1974-05-01,0.392,11.31,0.68,0.012655635,0.007892451,-0.030639854,-0.002472467,-0.017234146,0.123712011,5.6126
1974-06-01,0.28,11.93,0.8,0.006052764,-0.001765063,0.001337346,0.01130082,-0.018126254,0.114487464,5.6126
1974-07-01,-0.091,12.92,0.76,0.010611601,0.002152259,-0.124109386,0.003775685,-0.017860027,0.100048739,6.647
1974-08-01,-0.022,12.01,0.77,0.017858561,-0.010675276,-0.042236225,0.016053121,0.002043171,-0.090501745,6.647
1974-09-01,-0.43,11.34,0.94,3.14153e-4,-2.21e-6,-0.109857143,0.002070281,0.002039005,-0.099768478,6.647
