"date","MonetaryShock_RR","Inflation_CPI","Consumption_PCE","Output_IP","baa_aaa_creditconditions","assetprice_sp500","RNUSBIS","t_bill_inflationexpectations"
1969-01-01,0,35.7,583.5,38.1869,0.73,102,114.73,6.14
1969-02-01,0,35.8,588.7,38.4313,0.64,101.5,115.17,6.12
1969-03-01,-0.245,36.1,588.9,38.7326,0.66,99.3,115.64,6.02
1969-04-01,0.405,36.3,593.9,38.5901,0.65,101.3,115.49,6.11
1969-05-01,0.204,36.4,600.3,38.4443,0.73,104.6,115.75,6.04
1969-06-01,-0.02,36.6,600.9,38.8198,0.72,99.14,116.16,6.44
1969-07-01,0.181,36.8,602.7,39.0248,0.76,94.71,116.15,7
1969-08-01,0.309,36.9,609.9,39.1145,0.890000000000001,94.18,116.39,6.98
1969-09-01,0.029,37.1,613.2,39.1057,0.910000000000001,94.51,116.19,7.09
1969-10-01,0.088,37.3,618.5,39.1171,0.890000000000001,95.52,115.25,7
1969-11-01,-0.005,37.5,620.5,38.7484,0.9,96.21,116.04,7.24
1969-12-01,0.065,37.7,622.8,38.6444,0.930000000000001,91.11,116.03,7.82
1970-01-01,-0.16,37.9,628.7,37.9288,0.949999999999999,90.31,115.19,7.87
1970-02-01,-0.36,38.1,634,37.9038,0.85,87.16,115.42,7.13
1970-03-01,-0.14,38.3,632.3,37.8546,0.790000000000001,88.65,115.34,6.63
1970-04-01,-0.145,38.5,636,37.7573,0.869999999999999,85.95,115.49,6.51
1970-05-01,0.3,38.6,642.4,37.7133,0.870000000000001,76.06,115.82,6.84
1970-06-01,-0.18,38.8,646.3,37.5913,0.77,75.59,115.65,6.68
1970-07-01,-0.243,38.9,648.5,37.6836,0.960000000000001,75.72,115.58,6.45
1970-08-01,-0.483,39,652.9,37.6164,1.31,77.92,114.84,6.41
1970-09-01,-0.272,39.2,659.1,37.3571,1.3,82.58,114.51,6.12
1970-10-01,-0.009,39.4,658.3,36.6098,1.3,84.37,114.5,5.91
1970-11-01,-0.346,39.6,656.6,36.3881,1.33,84.28,114.95,5.28
1970-12-01,-0.229,39.8,665.6,37.2237,1.48,90.05,115.12,4.87
1971-01-01,-0.682,39.9,676.1,37.5101,1.38,93.49,113.72,4.44
1971-02-01,-0.025,39.9,679.4,37.4386,1.31,97.11,113.48,3.7
1971-03-01,-0.065,40,682,37.398,1.25,99.6,113.35,3.38
1971-04-01,0.461,40.1,688.8,37.608,1.2,103,112.94,3.86
1971-05-01,0.003,40.3,691.1,37.7989,1.09,101.6,113.05,4.14
1971-06-01,0.343,40.5,699.8,37.9574,1.11,99.72,113.77,4.75
1971-07-01,-0.117,40.6,698.9,37.8472,1.12,99,114.1,5.4
1971-08-01,0,40.7,704.9,37.6276,1.17,97.24,112.96,4.94
1971-09-01,0,40.8,713,38.2391,1.15,99.4,110.35,4.69
1971-10-01,-0.322,40.9,715.8,38.5253,1.09,97.29,109.28,4.46
1971-11-01,-0.342,41,720.9,38.6888,1.12,92.78,109.08,4.22
1971-12-01,-0.92,41.1,728.4,39.1355,1.13,99.17,107.6,4.01
1972-01-01,-0.234,41.2,731.5,40.0728,1.04,103.3,106,3.38
1972-02-01,-0.086,41.4,736.2,40.4789,0.960000000000001,105.2,104.77,3.2
1972-03-01,0.252,41.4,749.2,40.761,1,107.7,103.92,3.73
1972-04-01,-0.104,41.5,752.5,41.1654,0.94,108.8,103.75,3.71
1972-05-01,-0.115,41.6,758,41.1693,0.930000000000001,107.7,103.52,3.69
1972-06-01,-0.05,41.7,761.6,41.2778,0.969999999999999,108,103.23,3.91
1972-07-01,0,41.8,769.9,41.2389,1.02,107.2,103.65,3.98
1972-08-01,0,41.9,776.3,41.805,0.999999999999999,111,102.88,4.02
1972-09-01,0,42.1,781.1,42.1288,0.87,109.4,102.64,4.66
1972-10-01,0,42.2,794.9,42.6703,0.85,109.6,103.28,4.74
1972-11-01,0.036,42.4,800.5,43.1755,0.87,115.1,103.75,4.78
1972-12-01,-0.027,42.5,806.1,43.6617,0.85,117.5,103.58,5.07
1973-01-01,0.279,42.7,816.5,43.9783,0.75,118.4,103.17,5.41
1973-02-01,0.225,43,825.8,44.6103,0.75,114.2,98.95,5.6
1973-03-01,0.064,43.4,832.8,44.6294,0.739999999999999,112.4,95.95,6.09
1973-04-01,-0.063,43.7,835.7,44.568,0.83,110.3,95.97,6.26
1973-05-01,0.317,43.9,841.6,44.8608,0.77,107.2,94.96,6.36
1973-06-01,0.409,44.2,844.3,44.9186,0.760000000000001,104.8,93.5,7.19
1973-07-01,0.115,44.2,854.1,45.085,0.79,105.8,91.36,8.01
1973-08-01,0.318,45,853.3,45.0221,0.85,103.8,93.21,8.67
1973-09-01,-0.571,45.2,869.2,45.3801,1,105.6,92.31,8.29
1973-10-01,-0.848,45.6,868.2,45.7462,0.81,109.8,91.7,7.22
1973-11-01,-0.095,45.9,876.9,45.9548,0.75,102,93.75,7.83
1973-12-01,-0.165,46.3,876.6,45.8252,0.800000000000001,94.78,94.04,7.45
1974-01-01,-0.206,46.8,884.5,45.5207,0.65,96.11,95.34,7.77
1974-02-01,0.201,47.3,889.7,45.3825,0.68,93.45,92.47,7.12
1974-03-01,0.733,47.8,901.4,45.3798,0.609999999999999,97.44,90.93,7.96
1974-04-01,0.387,48.1,910.8,45.247,0.619999999999999,92.46,89.09,8.33
1974-05-01,0.392,48.6,922.4,45.6083,0.680000000000001,89.67,88.87,8.23
1974-06-01,0.28,49,928,45.5216,0.799999999999999,89.79,89.88,7.9
1974-07-01,-0.091,49.3,937.9,45.6136,0.76,79.31,90.22,7.55
1974-08-01,-0.022,49.9,954.8,45.1303,0.77,76.03,91.68,8.96
1974-09-01,-0.43,50.6,955.1,45.1377,0.94,68.12,91.87,8.06
1974-10-01,-0.284,51,959.2,44.995,1.21,69.44,91.17,7.46
1974-11-01,0.336,51.5,956.2,43.5148,1.71,71.74,90.42,7.47
1974-12-01,-0.229,51.9,961.8,41.9503,1.74,67.07,90.71,7.15
1975-01-01,-0.354,52.3,975.6,41.3689,1.98,72.56,89.54,6.26
1975-02-01,0.243,52.6,989.4,40.4252,2.03,80.1,88.55,5.5
1975-03-01,-0.499,52.8,990.6,39.9804,1.81,83.78,87.76,5.49
1975-04-01,-0.637,53,995,40.0572,1.63,84.72,88.12,5.61
1975-05-01,0.136,53.1,1018.9,39.9402,1.79,90.1,87.72,5.23
1975-06-01,0.17,53.5,1026.8,40.1927,1.85,92.4,87.8,5.34
1975-07-01,0.07,54,1039.8,40.6115,1.71,92.49,90.04,6.13
1975-08-01,-0.136,54.2,1047,41.0114,1.64,85.71,91.17,6.44
1975-09-01,-0.114,54.6,1054.8,41.5422,1.66,84.67,91.18,6.42
1975-10-01,-0.2,54.9,1060.9,41.7224,1.76,88.57,90.89,5.96
1975-11-01,-0.281,55.3,1075.8,41.7797,1.78,90.07,91.08,5.48
1975-12-01,0.28,55.6,1092.1,42.3462,1.77,88.7,91.68,5.44
1976-01-01,-0.091,55.8,1107.1,42.9082,1.81,96.86,90.6,4.87
1976-02-01,-0.469,55.9,1107.7,43.3407,1.69,100.6,89.79,4.88
1976-03-01,-0.239,56,1114.9,43.4281,1.6,101.1,89.89,5
1976-04-01,0.139,56.1,1125.4,43.6518,1.54,101.9,89.57,4.86
1976-05-01,-0.298,56.4,1122.7,43.8315,1.28,101.2,89.78,5.2
1976-06-01,-0.038,56.7,1140.5,43.8775,1.27,101.8,90.16,5.41
1976-07-01,-0.139,57,1149.6,44.1248,1.26,104.2,89.73,5.23
1976-08-01,-0.044,57.3,1158,44.4262,1.19,103.3,89.76,5.14
1976-09-01,0.019,57.6,1168.8,44.5711,1.02,105.5,91.4,5.08
1976-10-01,-0.041,57.9,1176.8,44.56,0.969999999999999,101.9,91.59,4.92
1976-11-01,0.03,58.1,1189,45.2454,0.98,101.2,92.64,4.75
1976-12-01,-0.131,58.4,1211.5,45.731,1.14,104.7,91.38,4.35
1977-01-01,-0.097,58.7,1215,45.4156,1.12,103.8,90.34,4.62
1977-02-01,-0.085,59.3,1231.3,46.1358,1.08,101,90.88,4.67
1977-03-01,-0.228,59.6,1238.3,46.7158,1.02,100.6,90.76,4.6
1977-04-01,-0.049,60,1247.3,47.1719,1.03,99.05,90.12,4.54
1977-05-01,-0.051,60.2,1257.1,47.541,0.959999999999999,98.76,89.86,4.96
1977-06-01,-0.146,60.5,1263.6,47.9063,0.96,99.29,89.71,5.02
1977-07-01,-0.24,60.8,1280.5,47.9714,0.929999999999999,100.2,88.65,5.19
1977-08-01,0.03,61.1,1285.7,48.0157,0.84,97.75,88.74,5.49
1977-09-01,0.073,61.3,1294.5,48.2097,0.880000000000001,96.23,88.48,5.81
1977-10-01,-0.026,61.6,1311.4,48.2839,0.850000000000001,93.74,87.29,6.16
1977-11-01,-0.048,62,1327,48.3755,0.869999999999999,94.28,86.56,6.1
1977-12-01,-0.122,62.3,1336,48.4573,0.800000000000001,93.82,85.22,6.07
1978-01-01,-0.205,62.7,1329.5,47.7512,0.76,90.25,84.37,6.44
1978-02-01,0.106,63,1355.1,48.0098,0.729999999999999,88.98,84.08,6.45
1978-03-01,0.042,63.4,1377.5,48.9358,0.75,88.82,83.4,6.29
1978-04-01,-0.069,63.9,1396.4,49.9074,0.76,92.71,82.92,6.29
1978-05-01,-0.216,64.5,1412,50.1513,0.800000000000001,97.41,83.81,6.41
1978-06-01,0.243,65,1425.8,50.4751,0.84,97.66,82.95,6.73
1978-07-01,-0.142,65.5,1426.8,50.4371,0.719999999999999,97.19,80.79,7.01
1978-08-01,-0.064,65.9,1447,50.6393,0.790000000000001,103.9,79.28,7.08
1978-09-01,-0.156,66.5,1452.9,50.7631,0.73,103.9,79.49,7.85
1978-10-01,0.133,67.1,1466.9,51.1523,0.699999999999999,100.6,78.12,7.99
1978-11-01,0.168,67.5,1480.6,51.5456,0.800000000000001,94.71,79.9,8.64
1978-12-01,-0.042,67.9,1496.5,51.806,0.779999999999999,96.11,80.31,9.08
1979-01-01,0,68.5,1502.4,51.525,0.880000000000001,99.71,80.21,9.35
1979-02-01,-0.152,69.2,1517.8,51.778,0.82,98.23,81.05,9.32
1979-03-01,0.133,69.9,1531.2,51.9382,0.890000000000001,100.1,81.29,9.48
1979-04-01,-0.064,70.6,1538.4,51.3251,0.949999999999999,102.1,82.13,9.46
1979-05-01,0.105,71.4,1558.8,51.7782,0.970000000000001,99.73,82.93,9.61
1979-06-01,0,72.2,1575.7,51.7865,1.09,101.7,83.26,9.06
1979-07-01,0.761,73,1586.1,51.7029,1.09,102.7,81.82,9.24
1979-08-01,0.322,73.7,1615.6,51.3658,1.12,107.4,82.57,9.52
1979-09-01,-0.224,74.4,1633.9,51.3623,1.1,108.6,82.57,10.26
1979-10-01,0,75.2,1641.6,51.7175,1.27,104.5,83.54,11.7
1979-11-01,0.045,76,1657.3,51.6341,1.23,103.7,85.26,11.79
1979-12-01,0,76.9,1666.3,51.6694,1.32,107.8,84.18,12.04
1980-01-01,-0.011,78,1697.3,51.944,1.33,110.9,83.87,12
1980-02-01,0.197,79,1701.4,51.9633,1.19,115.3,84.68,12.86
1980-03-01,1.422,80.1,1708.2,51.7454,1.49,104.7,87.31,15.2
1980-04-01,-3.221,80.9,1695.2,50.7197,2.15,103,87.72,13.2
1980-05-01,-0.764,81.7,1700.1,49.4766,2.18,107.7,84.42,8.58
1980-06-01,0,82.5,1718.8,48.8383,2.13,114.6,82.93,7.07
1980-07-01,0.403,82.6,1747.1,48.4907,1.58,119.8,82.23,8.06
1980-08-01,-0.198,83.2,1763.8,48.6456,1.51,123.5,83.09,9.13
1980-09-01,0.771,83.9,1780.5,49.4578,1.68,126.5,81.94,10.27
1980-10-01,1.218,84.7,1817.1,50.0861,1.92,130.2,82.16,11.62
1980-11-01,1.871,85.6,1826.8,50.9209,1.67,135.7,83.78,13.73
1980-12-01,-0.634,86.4,1851.7,51.257,1.93,133.5,84.68,15.49
1981-01-01,0,87.2,1870,50.9328,2.22,133,83.36,15.02
1981-02-01,-0.783,88,1884.2,50.7237,2.02,128.4,85.73,14.79
1981-03-01,0.307,88.6,1902.9,50.9806,2.01,133.2,85.9,13.36
1981-04-01,0,89.1,1904.4,50.7661,1.68,134.4,87.01,13.69
1981-05-01,1.515,89.7,1913.8,51.0552,1.63,131.7,89.4,16.3
1981-06-01,0,90.5,1934.5,51.3214,2.05,132.3,91,14.73
1981-07-01,-0.611,91.5,1942.1,51.6555,1.79,129.1,93.41,14.95
1981-08-01,-0.041,92.2,1966.6,51.5903,1.45,129.6,95.04,15.51
1981-09-01,0,93.1,1965.5,51.3429,1.43,118.3,93.13,14.7
1981-10-01,-0.574,93.4,1963.9,50.9463,1.71,119.8,92.04,13.54
1981-11-01,-0.356,93.8,1970.6,50.3546,2.17,122.9,90.37,10.86
1981-12-01,0.1,94.1,1988.8,49.8086,2.32,123.8,90.14,10.85
1982-01-01,0,94.4,1997.1,48.7877,1.92,117.3,90.84,12.28
1982-02-01,1.021,94.7,2021.2,49.7839,1.91,114.5,94.15,13.48
1982-03-01,-0.435,94.7,2024.1,49.4477,2.24,110.8,96.97,12.68
1982-04-01,0,95,2026.3,48.9913,2.32,116.3,97.39,12.7
1982-05-01,-0.056,95.9,2044.5,48.6669,2.38,116.4,95.74,12.09
1982-06-01,0,97,2048.1,48.5415,2.11,109.7,100.2,12.47
1982-07-01,-0.196,97.5,2072.2,48.3775,2.19,109.4,101.32,11.35
1982-08-01,-0.211,97.7,2080.1,47.9382,2.61,109.7,104.19,8.68
1982-09-01,0,97.7,2104.6,47.8139,2.69,122.4,102.9,7.92
1982-10-01,-0.242,98.1,2125.8,47.3575,2.61,132.7,103.89,7.71
1982-11-01,0.125,98,2149.3,47.2078,2.62,138.1,103.46,8.07
1982-12-01,0.651,97.7,2161.6,46.8713,2.31,139.4,101.61,7.94
1983-01-01,0,97.9,2174,47.7398,2.15,144.3,101.98,7.86
1983-02-01,0.185,98,2177,47.4484,1.94,146.8,102.45,8.11
1983-03-01,0.145,98.1,2202.8,47.8426,1.88,151.9,102.27,8.35
1983-04-01,0,98.8,2226.4,48.4483,1.78,157.7,102.47,8.21
1983-05-01,-0.019,99.2,2245.9,48.747,1.63,164.1,102.16,8.19
1983-06-01,0,99.4,2276,49.0434,1.63,166.4,103.58,8.79
1983-07-01,-0.008,99.8,2304.4,49.7739,1.24,167,103.96,9.08
1983-08-01,-0.234,100.1,2320.4,50.364,1.13,162.4,105.28,9.34
1983-09-01,0,100.4,2334.9,51.0937,1.18,167.2,104.94,9
1983-10-01,0.282,100.8,2357.6,51.4902,1.21,167.7,102.95,8.64
1983-11-01,-0.172,101.1,2366.3,51.721,1.2,165.2,103.86,8.76
1983-12-01,0.217,101.4,2393.6,51.9769,1.18,164.4,104.91,9
1984-01-01,0.257,102.1,2419.4,53.0088,1.45,166.4,105.49,8.9
1984-02-01,0,102.6,2403.5,53.2486,1.51,157.3,104.14,9.09
1984-03-01,-0.101,102.9,2431.6,53.5028,1.42,157.4,102.3,9.52
1984-04-01,0,103.3,2457.5,53.8233,1.5,157.6,103.02,9.69
1984-05-01,0.173,103.5,2474.5,54.1104,1.46,156.6,105,9.83
1984-06-01,0,103.7,2495.6,54.3075,1.5,153.1,105.64,9.87
1984-07-01,0.327,104.1,2494.6,54.4587,1.71,151.1,108.6,10.12
1984-08-01,-0.061,104.4,2512.2,54.5239,1.76,164.4,108.93,10.47
1984-09-01,0,104.7,2533.8,54.3696,1.69,166.1,110.87,10.37
1984-10-01,0.035,105.1,2531.3,54.3474,1.31,164.8,111.64,9.74
1984-11-01,-0.546,105.3,2571.4,54.529,1.19,166.3,110.22,8.61
1984-12-01,-0.144,105.5,2582.6,54.5556,1.27,164.5,111.9,8.06
1985-01-01,0,105.7,2618.8,54.527,1.18,171.6,113.13,7.76
1985-02-01,-0.158,106.3,2640.8,54.6871,1.1,180.9,115.94,8.27
1985-03-01,0.201,106.8,2648.5,54.7673,1.13,179.4,116.36,8.52
1985-04-01,0,107,2659.5,54.6467,1.28,180.6,112.47,7.95
1985-05-01,-0.104,107.2,2696.4,54.7396,1.43,184.9,113.11,7.48
1985-06-01,0,107.5,2689.4,54.711,1.46,188.9,112.14,6.95
1985-07-01,0.06,107.7,2715.7,54.4365,1.46,192.5,110.84,7.08
1985-08-01,0.186,107.9,2752.1,54.6121,1.45,188.3,109.81,7.14
1985-09-01,0,108.1,2794.7,54.8147,1.41,184.1,111.02,7.1
1985-10-01,0.104,108.5,2755.8,54.6228,1.34,186.2,106.39,7.16
1985-11-01,0.021,109,2771.1,54.8123,1.44,197.5,106.23,7.24
1985-12-01,-0.069,109.5,2811.3,55.3553,1.42,207.3,104.99,7.1
1986-01-01,0,109.9,2827.1,55.6453,1.39,208.2,103.21,7.07
1986-02-01,-0.11,109.7,2820.2,55.2634,1.44,219.4,99.5,7.06
1986-03-01,0,109.1,2823.6,54.8728,1.5,232.3,97.22,6.56
1986-04-01,0.207,108.7,2835.2,54.935,1.4,238,96.09,6.06
1986-05-01,0.076,109,2857.5,55.0399,1.2,238.5,94.5,6.15
1986-06-01,0,109.4,2861.7,54.826,1.21,245.3,96.06,6.21
1986-07-01,-0.168,109.5,2881.2,55.167,1.28,240.2,93.73,5.83
1986-08-01,-0.234,109.6,2898.6,55.0726,1.46,245,92.49,5.53
1986-09-01,0.001,110,2971.8,55.2237,1.31,238.3,92.55,5.21
1986-10-01,0,110.2,2932.9,55.4589,1.38,237.4,92.6,5.18
1986-11-01,0.021,110.4,2928.4,55.6763,1.39,245.1,93.84,5.35
1986-12-01,-0.082,110.8,2997.1,56.2078,1.48,248.6,93.05,5.53
1987-01-01,0,111.4,2935.5,55.9911,1.36,264.5,90.13,5.43
1987-02-01,0.176,111.8,3001.7,56.7373,1.27,280.9,89.18,5.59
1987-03-01,0.191,112.2,3013.3,56.8136,1.25,292.5,88.53,5.59
1987-04-01,0,112.7,3038.8,57.185,1.19,289.3,86.48,5.64
1987-05-01,0.238,113,3048.4,57.5424,1.18,289.1,85.68,5.66
1987-06-01,0,113.5,3072.8,57.8502,1.2,301.4,86.72,5.67
1987-07-01,-0.041,113.8,3094.7,58.2421,1.19,310.1,87.72,5.69
1987-08-01,-0.021,114.3,3130.8,58.6784,1.13,329.4,87.5,6.04
1987-09-01,-0.147,114.7,3126.5,58.9088,1.13,318.7,85.98,6.4
1987-10-01,0,115,3134.5,59.7008,1.1,280.2,85.62,6.13
1987-11-01,-0.085,115.4,3144.2,59.9956,1.22,245,83.2,5.69
1987-12-01,-0.18,115.6,3174.1,60.3246,1.18,241,81.22,5.77
1988-01-01,0,116,3213.7,60.309,1.19,250.5,80.43,5.81
1988-02-01,-0.224,116.2,3221.4,60.6122,1.22,258.1,80.69,5.66
1988-03-01,0.018,116.5,3260.5,60.7452,1.18,265.7,79.39,5.7
1988-04-01,0,117.2,3263,61.108,1.23,262.6,78.53,5.91
1988-05-01,0.188,117.5,3293.6,60.9843,1.14,256.1,78.58,6.26
1988-06-01,0.308,118,3318.5,61.1615,1.14,270.7,79.73,6.46
1988-07-01,0,118.5,3342.7,61.171,1.15,269.1,81.81,6.73
1988-08-01,-0.182,119,3368,61.4771,1.1,263.7,82.6,7.06
1988-09-01,-0.067,119.5,3375,61.2785,1.08,268,82.93,7.24
