date,cons_logdiff,output_logdiff,mortgage_rate,credit_logdiff,houseprices_logdiff,policyrate
2/1/87,0.018804371,0.013094912,9.0825,-0.002194516,0.002656744,6.1
3/1/87,0.001198157,0.001447195,9.035,0.00190515,0.001654085,6.13
4/1/87,0.004732486,0.006311114,9.8325,0.006568213,0.003341003,6.37
5/1/87,5.96E-04,0.006302767,10.596,0.001762441,0.006152637,6.85
6/1/87,0.004182911,0.005166029,10.5375,-9.84E-04,0.005769869,6.73
7/1/87,0.004846702,0.006797065,10.278,3.49E-05,0.00588649,6.58
8/1/87,0.007620592,0.007478082,10.33,9.47E-04,0.002836953,6.73
9/1/87,-0.00471928,0.003931774,10.8875,0.006981677,0.001755202,7.22
10/1/87,-6.11E-04,0.013233495,11.26,0.003218343,0.001505223,7.29
11/1/87,0.001176977,0.004865946,10.65,-0.001767904,-6.78E-04,6.69
12/1/87,0.007616767,0.005592547,10.64,0.004569449,0.00194781,6.77
1/1/88,0.008539036,-1.97E-04,10.3825,0.002924751,5.13E-05,6.83
2/1/88,9.34E-04,0.004999271,9.8925,0.002596787,0.003121028,6.58
3/1/88,0.00863525,0.002464822,9.93,0.004909129,0.003324366,6.58
4/1/88,-0.00410905,0.005784379,10.202,0.003299914,6.80E-04,6.87
5/1/88,0.006465231,-0.002018273,10.455,0.006427556,0.006274158,7.09
6/1/88,0.003271816,0.002896927,10.46,0.004060299,0.005070042,7.51
7/1/88,0.002408584,1.47E-04,10.432,0.002438804,0.004430212,7.75
8/1/88,0.004560389,0.005001679,10.5975,-3.91E-04,0.002740311,8.01
9/1/88,-0.002790497,-0.003129633,10.48,-0.001719701,0.001181659,8.19
10/1/88,0.008153371,0.004301536,10.3025,0.002232667,6.97E-05,8.3
11/1/88,0.002530306,0.002415756,10.265,0.002887308,8.33E-07,8.35
12/1/88,0.00542824,0.004519309,10.612,0.001508125,-4.08E-04,8.76
1/1/89,0.001781441,0.002945349,10.73,-0.001090599,4.95E-04,9.12
2/1/89,-0.002103727,-0.004434997,10.645,0.004988921,0.001461694,9.36
3/1/89,-6.45E-04,0.002497608,11.032,-0.001339152,0.001035697,9.85
4/1/89,0.005917304,-1.50E-04,11.05,1.44E-04,-0.001215122,9.84
5/1/89,-0.001176383,-0.005701295,10.7725,0.002167231,8.38E-04,9.81
6/1/89,0.001966989,-7.61E-05,10.196,0.001624166,0.002056753,9.53
7/1/89,0.002964545,-0.00969396,9.8825,0.005215967,0.001329446,9.24
8/1/89,0.009558702,0.00975062,9.985,0.006342799,0.003020198,8.99
9/1/89,-0.001879085,-0.003138967,10.126,0.002240565,-4.55E-04,9.02
10/1/89,-6.76E-04,-0.001348758,9.9475,0.003229531,-0.003906725,8.84
11/1/89,4.86E-04,0.003373352,9.7675,4.96E-04,-0.003547954,8.55
12/1/89,0.008251636,0.005469228,9.744,3.05E-04,-0.003472712,8.45
1/1/90,0.004976903,-0.005070633,9.895,-0.003863795,-0.009051167,8.23
2/1/90,-0.005060761,0.009040641,10.1975,0.003351364,-0.00313017,8.24
3/1/90,0.00336972,0.004969203,10.268,-7.28E-04,-0.002029474,8.28
4/1/90,0.001899613,-0.00262325,10.37,0.002846659,9.07E-04,8.26
5/1/90,-7.09E-04,0.003036903,10.4775,0.003002996,0.00179297,8.18
6/1/90,0.003167197,0.003385835,10.164,1.01E-04,-0.00349032,8.29
7/1/90,0.002036703,-0.001748873,10.035,-0.001966727,-0.003898923,8.15
8/1/90,3.11E-04,0.00348675,10.1,-0.004406678,-0.009438691,8.13
9/1/90,-4.77E-04,7.63E-05,10.175,-0.004675814,-0.010060473,8.2
10/1/90,-0.005601439,-0.005859653,10.1775,-0.003262411,-0.010869662,8.11
11/1/90,-9.19E-04,-0.012797144,10.014,3.89E-05,-0.00918738,7.81
12/1/90,-0.00366435,-0.007366597,9.6725,5.37E-04,-0.009101934,7.31
1/1/91,-0.00904011,-0.003261191,9.6375,-0.004520572,-0.00951414,6.91
2/1/91,0.006162047,-0.007415936,9.365,0.002923823,-0.004522487,6.25
3/1/91,0.011691636,-0.005771039,9.5,0.00601368,-0.00150285,6.12
4/1/91,-0.003311641,0.002635144,9.4925,-0.001336298,2.10E-04,5.91
5/1/91,0.002541986,0.009370151,9.472,-0.002473298,0.00224964,5.78
6/1/91,1.66E-04,0.008070413,9.615,8.82E-05,0.003487834,5.9
7/1/91,0.004856797,0.002796692,9.575,-0.001369115,0.001908166,5.82
8/1/91,-0.001512624,-1.13E-05,9.244,-0.00322192,-0.001926695,5.66
9/1/91,4.77E-04,0.007901659,9.0075,0.001256772,-0.003106787,5.45
10/1/91,-0.004029081,-5.47E-04,8.855,0.004654386,-0.005226849,5.21
11/1/91,0.004712828,-0.001583616,8.712,0.001254499,-0.007764449,4.81
12/1/91,0.001717662,-0.004874384,8.4975,0.002960008,-0.005387541,4.43
1/1/92,0.014472033,-0.005251264,8.432,0.00201073,-0.002531396,4.03
2/1/92,0.001120266,0.00703489,8.7625,-2.95E-04,-0.002761453,4.06
3/1/92,0.001830459,0.008489522,8.935,-0.001726805,-0.001514845,3.98
4/1/92,8.33E-04,0.007561467,8.8525,5.13E-04,0.001334811,3.73
5/1/92,0.005163889,0.003285691,8.672,-1.32E-05,0.002008188,3.82
6/1/92,0.002702922,5.12E-04,8.51,-0.001507651,-1.93E-04,3.76
7/1/92,0.00331822,0.009164938,8.128,-4.95E-04,-0.001429108,3.25
8/1/92,0.002486466,-0.005607555,7.975,0.001203788,-0.001859238,3.3
9/1/92,0.006487761,0.003293115,7.9225,0.002043672,-0.003471651,3.22
10/1/92,0.003357074,0.006728891,8.088,-0.002170938,-0.004634861,3.1
11/1/92,0.001704017,0.003785045,8.305,4.61E-04,-0.003066964,3.09
12/1/92,0.006570857,0.001687496,8.206,0.002974652,-0.002909296,2.92
1/1/93,-0.001436768,0.003832542,7.9925,-0.004035694,-0.004410326,3.02
2/1/93,0.001849702,0.004804394,7.6825,0.001310243,-0.002976031,3.03
3/1/93,-0.002716698,-8.74E-04,7.495,0.003239975,-6.76E-04,3.07
4/1/93,0.006719214,0.002739405,7.472,-1.61E-04,1.37E-04,2.96
5/1/93,0.003479352,-0.00379158,7.465,0.00327175,0.002024072,3
6/1/93,0.00362284,0.002252647,7.4175,0.00572548,0.00560907,3.04
7/1/93,0.004906867,0.002693116,7.206,0.004017383,0.003376749,3.06
8/1/93,0.00100555,-0.001206468,7.1125,0.001099674,0.001079472,3.03
9/1/93,0.005723938,0.005291488,6.915,8.60E-04,-5.23E-04,3.09
10/1/93,0.001555404,0.007303652,6.834,-0.003052025,-0.004461929,2.99
11/1/93,0.002797473,0.004559006,7.155,0.001166355,-0.00276907,3.02
12/1/93,0.003514472,0.005905271,7.172,0.004171969,-0.002782114,2.96
1/1/94,0.002722852,0.002873679,7.06,0.003963088,0.001087548,3.05
2/1/94,0.007992315,5.83E-04,7.1525,-0.001950931,-0.002666441,3.25
3/1/94,1.32E-04,0.010149891,7.675,0.007318529,-8.83E-04,3.34
4/1/94,0.004216001,0.005896138,8.316,0.005452111,0.003815784,3.56
5/1/94,-0.001804681,0.004590496,8.5975,-4.40E-04,0.004385391,4.01
6/1/94,0.005965575,0.00672845,8.3975,0.002162328,0.003496557,4.25
7/1/94,-6.55E-04,0.001329506,8.614,0.005321675,0.001144184,4.26
8/1/94,0.006566453,0.006681858,8.5125,3.78E-05,-8.67E-04,4.47
9/1/94,0.001486381,0.003140549,8.64,0.002113958,-0.001725074,4.73
10/1/94,0.006200336,0.008012931,8.925,0.002724475,-0.001105312,4.76
11/1/94,7.38E-04,0.006812623,9.17,7.08E-04,-0.004356304,5.29
12/1/94,0.002651496,0.010166426,9.198,0.005553506,-0.0031364,5.45
1/1/95,-3.68E-05,0.001700536,9.1475,0.00522784,-0.003310915,5.53
2/1/95,-0.001859062,-0.001128687,8.8275,-6.16E-04,-0.003079228,5.92
3/1/95,0.005255336,0.001660301,8.462,0.001408465,-9.24E-04,5.98
4/1/95,-0.001632444,-0.001727726,8.32,0.012489231,-3.21E-04,6.05
5/1/95,0.007206645,0.004898907,7.955,0.003627739,0.002024131,6.01
6/1/95,0.007969038,0.003308851,7.566,0.00332344,0.002690762,6
7/1/95,-0.002715769,-0.004189893,7.6075,0.006834486,0.002910563,5.85
8/1/95,0.004883087,0.013169323,7.86,0.00445599,0.001016378,5.74
9/1/95,0.002342639,0.004025176,7.636,0.004057867,-2.79E-04,5.8
10/1/95,-0.003895406,-0.001759107,7.475,-0.001810641,-0.002743848,5.76
11/1/95,0.008295517,0.002632006,7.3775,0.002057221,-0.002477402,5.8
12/1/95,0.006341515,0.003464824,7.2,0.002904624,-0.002746948,5.6
1/1/96,-0.004515325,-0.005740079,7.03,-4.30E-04,-0.006240307,5.56
2/1/96,0.007644439,0.01452916,7.075,0.002405899,-0.002268996,5.22
3/1/96,0.004834392,-0.001225043,7.624,-6.11E-04,4.18E-05,5.31
4/1/96,0.003685324,0.009901218,7.925,0.001945631,0.001741377,5.22
5/1/96,0.001301603,0.007445584,8.07,1.57E-04,0.003871416,5.24
6/1/96,0.001159461,0.007593378,8.32,0.002256782,0.00348058,5.27
7/1/96,0.002122193,1.54E-04,8.245,-3.65E-04,0.00253265,5.4
8/1/96,0.003428075,0.005105235,8.002,0.00157639,0.001444432,5.22
9/1/96,0.001273785,0.006239632,8.23,0.003195385,-0.002494403,5.3
10/1/96,0.002960076,2.96E-04,7.915,0.004996373,-0.004038073,5.24
11/1/96,0.002483179,0.009144785,7.618,0.002007948,-0.004028846,5.31
12/1/96,0.00396376,0.006386648,7.5975,0.003103254,-0.0033075,5.29
1/1/97,0.004722111,0.00158387,7.824,0.004608826,-0.001416824,5.25
2/1/97,0.00211255,0.011867817,7.65,0.002401687,-0.001090466,5.19
3/1/97,0.002672928,0.00632608,7.8975,0.008111144,0.003135063,5.39
4/1/97,-5.13E-05,0.001171515,8.1425,0.010396959,0.004236785,5.51
5/1/97,6.16E-04,0.005524361,7.944,0.006286063,0.00643089,5.5
6/1/97,0.004930194,0.004585437,7.69,0.005117539,0.004410001,5.56
7/1/97,0.009299241,0.008505943,7.4975,0.005372918,0.003926345,5.52
8/1/97,0.006051252,0.009954946,7.48,0.001033189,0.00111412,5.54
9/1/97,2.01E-04,0.009117575,7.43,0.004609472,-6.17E-04,5.54
