Friday_of_Week,NFCI
1/8/71,0.58483019
1/15/71,0.616816653
1/22/71,0.653946241
1/29/71,0.694712558
2/5/71,0.737787551
2/12/71,0.780836418
2/19/71,0.822793885
2/26/71,0.864099351
3/5/71,0.906358076
3/12/71,0.951643882
3/19/71,1.002166378
3/26/71,1.060234889
4/2/71,1.12597299
4/9/71,1.198316569
4/16/71,1.27301642
4/23/71,1.343645565
4/30/71,1.40304015
5/7/71,1.443158324
5/14/71,1.455270162
5/21/71,1.434744967
5/28/71,1.382340752
6/4/71,1.302521678
6/11/71,1.202887074
6/18/71,1.099797682
6/25/71,1.010308278
7/2/71,0.950952563
7/9/71,0.937286184
7/16/71,0.979082138
7/23/71,1.078971263
7/30/71,1.231701561
8/6/71,1.423090716
8/13/71,1.632624973
8/20/71,1.837744761
8/27/71,2.012636539
9/3/71,2.141777756
9/10/71,2.211100472
9/17/71,2.219800796
9/24/71,2.171529036
10/1/71,2.077110468
10/8/71,1.950682209
10/15/71,1.810190493
10/22/71,1.672211154
10/29/71,1.550885534
11/5/71,1.455927049
11/12/71,1.390540921
11/19/71,1.35403773
11/26/71,1.339476787
12/3/71,1.338750803
12/10/71,1.342782684
12/17/71,1.341366794
12/24/71,1.326309258
12/31/71,1.294566477
1/7/72,1.236644536
1/14/72,1.161542855
1/21/72,1.070148992
1/28/72,0.969238017
2/4/72,0.866400704
2/11/72,0.766812241
2/18/72,0.674196744
2/25/72,0.591549356
3/3/72,0.520291802
3/10/72,0.460464104
3/17/72,0.409909444
3/24/72,0.365472374
3/31/72,0.322975056
4/7/72,0.279190744
4/14/72,0.233421415
4/21/72,0.184942432
4/28/72,0.136801361
5/5/72,0.091731999
5/12/72,0.054124722
5/19/72,0.027932959
5/26/72,0.017487257
6/2/72,0.02484653
6/9/72,0.050617705
6/16/72,0.092074093
6/23/72,0.144646737
6/30/72,0.201143283
7/7/72,0.253583156
7/14/72,0.295105691
7/21/72,0.319859608
7/28/72,0.323401189
8/4/72,0.305041076
8/11/72,0.266309125
8/18/72,0.211600293
8/25/72,0.146465075
9/1/72,0.077957544
9/8/72,0.013312814
9/15/72,-0.042755927
9/22/72,-0.087420363
9/29/72,-0.120073634
10/6/72,-0.142616302
10/13/72,-0.158791375
10/20/72,-0.171211931
10/27/72,-0.183574067
11/3/72,-0.198173666
11/10/72,-0.215574003
11/17/72,-0.235389719
11/24/72,-0.25629304
12/1/72,-0.273924832
12/8/72,-0.283971464
12/15/72,-0.28151249
12/22/72,-0.26014882
12/29/72,-0.214968301
1/5/73,-0.142579472
1/12/73,-0.040995613
1/19/73,0.087867504
1/26/73,0.239610139
2/2/73,0.407686016
2/9/73,0.582108242
2/16/73,0.751485088
2/23/73,0.906197549
3/2/73,1.037079444
3/9/73,1.138842633
3/16/73,1.208877215
3/23/73,1.250266847
3/30/73,1.266805161
4/6/73,1.263038179
4/13/73,1.246124772
4/20/73,1.221122253
4/27/73,1.193357042
5/4/73,1.165892365
5/11/73,1.142087551
5/18/73,1.123993337
5/25/73,1.113870026
6/1/73,1.114457757
6/8/73,1.128975197
6/15/73,1.15945281
6/22/73,1.208306498
6/29/73,1.277483846
7/6/73,1.366151576
7/13/73,1.47302775
7/20/73,1.593471557
7/27/73,1.72332844
8/3/73,1.855443618
8/10/73,1.98439108
8/17/73,2.10469262
8/24/73,2.211236282
8/31/73,2.298819039
9/7/73,2.362698498
9/14/73,2.400455919
9/21/73,2.412765671
9/28/73,2.401223271
10/5/73,2.368106842
10/12/73,2.321793879
10/19/73,2.267929818
10/26/73,2.215721072
11/2/73,2.170931655
11/9/73,2.137550988
11/16/73,2.115863914
11/23/73,2.099339632
11/30/73,2.078931891
12/7/73,2.0423026
12/14/73,1.980390764
12/21/73,1.886481631
12/28/73,1.758892051
1/4/74,1.598634991
1/11/74,1.416563328
1/18/74,1.22184677
1/25/74,1.026637257
2/1/74,0.843950543
2/8/74,0.684933441
2/15/74,0.559437311
2/22/74,0.475896343
3/1/74,0.439687829
3/8/74,0.454266288
3/15/74,0.521838784
3/22/74,0.641461464
3/29/74,0.810336946
4/5/74,1.024365602
4/12/74,1.279242934
4/19/74,1.568565125
4/26/74,1.886618228
5/3/74,2.226128367
5/10/74,2.581678302
5/17/74,2.945847371
5/24/74,3.309414084
5/31/74,3.665596452
6/7/74,4.006145755
6/14/74,4.320963947
6/21/74,4.601083627
6/28/74,4.83513508
7/5/74,5.012527779
7/12/74,5.127504885
7/19/74,5.178681336
7/26/74,5.171092983
8/2/74,5.114665344
8/9/74,5.017945922
8/16/74,4.895550334
8/23/74,4.755601672
8/30/74,4.607402532
9/6/74,4.454367495
9/13/74,4.298598468
9/20/74,4.140213824
9/27/74,3.974519069
10/4/74,3.801545821
10/11/74,3.620767662
10/18/74,3.440272515
10/25/74,3.268520581
11/1/74,3.112898694
11/8/74,2.980591409
11/15/74,2.873727854
11/22/74,2.788223418
11/29/74,2.71979182
12/6/74,2.659088316
12/13/74,2.596653843
12/20/74,2.525467504
12/27/74,2.43687385
1/3/75,2.32786089
1/10/75,2.197076118
1/17/75,2.048908455
1/24/75,1.889505165
1/31/75,1.724948944
2/7/75,1.561337603
2/14/75,1.405308629
2/21/75,1.258758792
2/28/75,1.122788665
3/7/75,0.997914598
3/14/75,0.882818721
3/21/75,0.776010161
3/28/75,0.674616284
4/4/75,0.576094011
4/11/75,0.47940269
4/18/75,0.384126647
4/25/75,0.290150909
5/2/75,0.200157877
5/9/75,0.115960874
5/16/75,0.039901466
5/23/75,-0.026672684
5/30/75,-0.080562939
6/6/75,-0.121321172
6/13/75,-0.149185489
6/20/75,-0.165757476
6/27/75,-0.172894924
7/4/75,-0.173122417
7/11/75,-0.169253366
7/18/75,-0.163401007
7/25/75,-0.155713514
8/1/75,-0.146106607
8/8/75,-0.133563487
